Comment,Designator,Footprint,LCSC Part #
100nF,C1,0402_C,C1525
100nF,C2,0402_C,C1525
100nF,C3,0402_C,C1525
100nF,C4,0402_C,C1525
100nF,C5,0402_C,C1525
4u7uF,C6,0402_C,C23733
22uF,C7,0402_C,C1555
22uF,C8,0402_C,C1555
1uF,C9,0402_C,C52923
100nF,C10,0402_C,C1525
USB_B_Mini,J1,usb_mini:USB-Mini-B_ LCSC-C46398,C46398
Conn_01x08,J2,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,
Conn_01x08,J3,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,
Conn_01x05,J4,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,
AVR-ISP-6,J6,Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical,
Conn_01x15,J7,Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical,
10k,R3,0402_R,C25744
22,R4,0402_R,C25092
22,R5,0402_R,C25092
Atmega32U4-AU,U1,Package_QFP:TQFP-44_10x10mm_P0.8mm,C44854
16MHz,X1,Crystal:Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,C13738
