Designator,Mid X,Mid Y,Layer,Rotation
C1,135.136051,-121.443852,top,270
C2,145.851685,-104.179775,top,180
C3,148.82825,-114.410409,top,270
C4,136.326677,-104.179775,top,0
C5,132.159486,-108.346966,top,90
C6,130.96886,-114.895409,top,270
C7,143.470433,-123.825104,top,270
C8,137.517303,-123.825104,top,90
C9,132.159486,-112.514157,top,90
C10,138.112616,-103.694775,top,90
R3,132.754799,-121.443852,top,270
R4,129.182921,-111.323531,top,180
R5,129.182921,-110.132905,top,180
U1,140.493868,-112.514157,top,0
X1,140.493868,-123.825104,top,180
