Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0u1","C_0805_2012Metric",135.136051,-121.443852,270.000000,top
"C2","0u1","C_0805_2012Metric",145.851685,-104.179775,180.000000,top
"C3","0u1","C_0805_2012Metric",149.225376,-115.094040,270.000000,top
"C4","0u1","C_0805_2012Metric",135.136278,-103.981512,0.000000,top
"C5","0u1","C_0805_2012Metric",132.159486,-108.346966,90.000000,top
"C6","4u7","C_0805_2012Metric",126.856572,-115.887792,180.000000,top
"C7","22p","C_0805_2012Metric",143.867550,-124.619064,270.000000,top
"C8","22p","C_0805_2012Metric",137.120658,-124.619064,90.000000,top
"C9","1u","C_0805_2012Metric",129.976890,-114.697164,90.000000,top
"C10","0u1","C_0805_2012Metric",138.112616,-103.386198,90.000000,top
"R3","10k","R_0805_2012Metric",132.755022,-120.848742,270.000000,top
"R4","22","R_0805_2012Metric",129.182921,-111.720594,180.000000,top
"R5","22","R_0805_2012Metric",129.182921,-109.736214,180.000000,top
"U1","ATmega32U4","TQFP-44_10x10mm_P0.8mm",140.493868,-112.514157,0.000000,top
"X1","16MHz","Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm",140.493868,-123.825104,180.000000,top
